sabotage_type,sabotage_description,winning_bid,round
equipment,"cook with a different heat source (lamp, straightening iron, blowtorch)",6800.0,1
exlusivity,competitors cannot taste their food,10100.0,2
ingredients,switch fish for anchovies,1100.0,3
ingredients,must use mashed potatoes,2500.0,1
equipment,must make skewers out of vegetables,2000.0,2
ingredients,swap out chocolate for dispenser candy,3200.0,3
ingredients,must incorporate cookie dough from cookie dough ice cream,2500.0,3
equipment,shop without a basket,3800.0,1
ingredients,replace tortillas from chips and lard,3300.0,2
ingredients,replace flour with hand milled flour,4500.0,3
equipment,replace cooking with bent pan,4400.0,3
ingredients,swap cheese (nachos) and protein (freeze dried beef),6400.0,1
equipment,"replace knives w/ clam shucker, hammer and screwdriver",3200.0,2
ingredients,replace milk/cream w/ coffee creamers,7000.0,3
equipment,make ice cream in hand shaker,5000.0,3
ingredients,swap out potatoes,1500.0,1
ingredients,swap out oranges with substitutes,1100.0,2
ingredients,swap dairy with ice cream bars,2100.0,3
ingredients,"swap wonton wrappers (honey,frozen,wonton soup)",4000.0,1
ingredients,replace peanut butter ingredients with self made/used peanut butter jars,3900.0,2
ingredients,must replace shrimp with shrimp from ice block,3500.0,3
ingredients,"replace eggs w/ shelless, ostrich egg, quail egg",10000.0,1
equipment,force opponent to not use a waffle iron,2400.0,2
ingredients,swap fruit for exotic fruits,3800.0,3
ingredients,"swap tomato products bloody mary, tomato, ketchup",1600.0,1
equipment,must share hand utensils,3300.0,2
equipment,must cook everything on a mini cook station,5300.0,3
ingredients,replace potatoes with broken skins or peeled potatoes,2600.0,1
equipment,must replace cooking water w/ water in coconuts,4000.0,2
ingredients,replace baking ingredients w/ ingredients in cooking boxes,3100.0,3
equipment,"replace knives, utensils, hand tools",2500.0,1
ingredients,replace clams or cream,7100.0,2
equipment,must replace hand tools w/ a mallet,8100.0,3
ingredients,replace buns with soggy buns/pulverize hot dog meat,7600.0,1
ingredients,replace eggs w/ overcooked egg yolks/chocolate covered bacon,9000.0,2
ingredients,replace sugar w/ cotton candy,3600.0,3
equipment,"replace heat w/ toaster,coffee maker,waffle iron",11500.0,1
equipment,replace all heat w/ panini press,1000.0,2
equipment,replace pots,1700.0,3
ingredients,swap opponent jalepenos,700.0,1
ingredients,swap opponents dough ingredients,7900.0,2
equipment,swap heat source with iron/steamer,10200.0,3
ingredients,swap ingredients for other B/L/T ingredients,7000.0,1
equipment,replace cooking and mixing vessels w/ ramen bowls,11900.0,2
ingredients,replace sugar with popping candy,4000.0,3
ingredients,force an opponent to use with bottom shelf ingredients,2000.0,1
equipment,must cook everything in a vertical egg cooker,6000.0,2
ingredients,replace all ingredients for fridge drawer,5000.0,3
ingredients,must harvest pasta from a pasta picture of alton,5600.0,1
distraction,must cook with only pinky and thumb on one hand,1600.0,2
equipment,"measure, mix, and bake in muffin tins",6100.0,3
ingredients,replace peas with pea substitutes,9100.0,1
ingredients,replace lamb chops with overcooked/chopped lamb,10200.0,2
equipment,trade whisk and mixer for gigantic whisk,4800.0,3
equipment,must share tools with 2 other opponents,9200.0,1
ingredients,must switch baskets with pinata ingredients,2000.0,2
equipment,replace hand tools and mixers with bricklaying kit,4000.0,3
ingredients,replace cheese with different cheese sources,8500.0,1
distraction,must shop with shopping takeout containers,6000.0,2
equipment,replace all equipment with gardening tools,2000.0,3
ingredients,replace proteins with less desirable proteins,1100.0,1
equipment,replace knives with box cutter or plastic knives,5500.0,2
distraction,must ice pick out sugar/eggs/flour from ice block,3000.0,3
ingredients,replace onions with substitutes,5000.0,1
ingredients,swap competitors fish with mystery fish,4900.0,2
equipment,must make ice cream in ice cream shaker,6000.0,3
ingredients,swap meat with mystery meats,4500.0,1
ingredients,swap all of opponents chicken,5500.0,2
distraction,must play ball toss to win back ingredients,6000.0,3
ingredients,swap out two of your opponents eggs w/ poached or crushed eggs,8500.0,1
ingredients,swap opponent proteins w/ canned roast beef/canned oysters,2000.0,2
ingredients,opponents meat unevenly chopped,8600.0,3
equipment,choose heat options for all competitors,8100.0,1
ingredients,replace clams w/ razor clams/geoduck,3100.0,2
ingredients,replace opponents chicken w/ turducken,500.0,3
ingredients,replace opponent proteins with frog legs/roast beef/fish sticks,2000.0,1
ingredients,swap opponent proteins with meatball lottery,10200.0,2
ingredients,switch opponents entire basket from a tree,3000.0,3
equipment,replace heat sources with a heat gun,3100.0,1
ingredients,replace tomato products with salsa products,2600.0,2
equipment,limited to 3 tools in the kitchen,11200.0,3
ingredients,"swap opponents doughs with cookies, saltines, pizza crust",3500.0,1
equpiment,swap opponents heat sources w/ different irons,7100.0,2
equipment,must replace mixing tools with spring form pans,2500.0,3
ingredients,cheese from tuna melt,6400.0,1
ingredients,"must use comfort food ingredients (OJ,honey,cough drops)",5000.0,2
equipment,replace knives w/ fishing equipment,2000.0,3
exclusivity,comptetiors cannot use salt,3600.0,1
equipment,must make their own fire as heat,1900.0,2
ingredients,"different rice options (sushi, rice pudding, instant, fried rice)",3500.0,1
equipment,must cook on all in one breakfast sandwich maker,7900.0,2
ingredients,replace bread w/ rye crackers,7700.0,1
ingredients,swap clams w/ goeduck,7000.0,2
distraction,must wear masher on their dominant hand,4600.0,1
equipment,cook from a camp stove,5000.0,2
ingredients,incorporate savory ingredients,3000.0,3
ingredients,must use durian,6000.0,1
equipment,use tin foil for all tools,6300.0,2
ingredients,replace citrus with lemon candy,2000.0,3
equipment,can't use water,7000.0,1
exclusivity,competitors can't use fryer,6200.0,2
ingredients,use oatmeal as crumble topping,6000.0,3
distraction,force choice between canned chicken and half cooking time,5500.0,1
ingredients,replace fresh protein and vegetables with dried,3100.0,2
ingredients,replace fresh berries with berries from cereal dispenser,3000.0,3
ingredients,replace all non potatoes w/ new basket,2600.0,1
equipment,replace all utensils w/ chopsticks,7600.0,2
equipment,must mix in pastry bags,500.0,3
ingredients,replace lettuce w/ shredded lettuce,5200.0,1
exclusivity,only chef to taste food,3600.0,2
ingredients,replace breading w/ chicken nuggets,3600.0,3
equipment,replace heat with hot dog roller,7600.0,1
equipment,replace equipment w/ chemistry set,12000.0,2
equipment,replace bowls w/ collanders,2000.0,3
equipment,must share chef's knife w/ other opponents,10000.0,1
ingredients,harvest dough from leftover pizza,10500.0,2
ingredients,replace tortillas w/ frozen enchiladas,1600.0,3
equipment,use tin foil for all tools,8400.0,1
equipment,must replace utensils with a pastry cutter,5700.0,2
ingredients,swap out bread for bread crumbs,10000.0,1
ingredients,replace broth/stock w/ tea,1300.0,2
distraction,must cook in a poofy souffle suit,2900.0,3
equipment,force opponents to use different heat source,8000.0,1
distraction,must cook the entire meal in bed,7000.0,2
distraction,must get herbs from bag of lawn trimmings,4000.0,1
equipment,must cook and mix in coconuts and pineapples,5800.0,2
distraction,replace oil from oil capsules,2000.0,3
ingredients,split basket between opponents,7700.0,1
ingredients,must incorporate a mysterious green jar,1000.0,2
ingredients,must replace 3 ingredients with like items,10100.0,1
ingredients,"must use ""red or green"" ingredients",2200.0,2
equipment,replace knives with ice skate,8500.0,1
ingredients,replace proteins with vacuum sealed food,6100.0,2
equipment,replace pots with 7 tiny pots,3900.0,1
ingredients,replace bread with matzo ball soup,12000.0,2
equipment,must cook in ladles,3000.0,1
ingredients,must replace spices with spice mixes,2600.0,2
ingredients,puree opponents banana,3800.0,3
equipment,replace tools with balls of foil/plastic,9700.0,1
ingredients,swip citrus with lemon mirangue pie,4300.0,2
distraction,must fry in separated salad dressing,1200.0,3
distraction,get your ingredients from a quarter vending machine,9500.0,1
ingredients,must replace bread with a king cake,7500.0,2
ingredients,replace opponents cognac with congnac candies,3500.0,3
equipment,replace equipment with the ultimate grilling apron,16200.0,1
equipment,use fuel tabs for heat,5000.0,2
equipment,force your opponent to use a claw hand,6600.0,3
equipment,must cook in a tiny kitchen,1500.0,1
ingredients,submerge an opponents bread in bread,7500.0,2
ingredients,breakfast buffet voucher (replace ingredients except eggs),8800.0,1
equipment,must use moka pot as only cooking vessel,5900.0,2
ingredients,must harvest milk products from a fake cow,5000.0,3
equpiment,replace hand tools with a sporf,4600.0,1
ingredients,swap opponents bread with bread basket,7000.0,2
ingredients,must harvest cheese from other cheese tray items,7600.0,3
distraction,bike made margaritas,3100.0,1
equipment,must cook in a sheet pan,2100.0,2
ingredients,must use oil from different sources,1800.0,1
ingredients,must use canned sloppy joes instead of proteins,4000.0,2
ingredients,"fish options (sticks, tilapia, anchovies)",4400.0,1
ingredients,replace all ingredients,4500.0,2
equipment,cook with an iron,10000.0,1
equipment,cannot cook on stovetop,13000.0,1
ingredients,split basket between opponents,4100.0,2
ingredients,must make an additional sweet deviled egg,5000.0,1
ingredients,swap chicken with canned chicken,3100.0,2
equipment,replace pots and pans for mini pot,6000.0,1
ingredients,replace rice paper wrappers w/ broken wrappers,4100.0,2
equipment,replace knifes w/ exacto knife,3000.0,1
equipment,share pot w/ an opponent,2000.0,2
equipment,"give heat sources to opponents (broiler, microwave, fryer)",4000.0,1
ingredients,must use white bread to make bread bowl,5300.0,2
distraction,must cook a stack of pancakes 1 foot high,4000.0,1
ingredients,frozen component in their dish,7000.0,1
ingredients,"replace protein, veggies, and cheese w/ yard waste",4300.0,2
equipment,must cook on a shovel,8000.0,1
ingredients,lose your noodles,6400.0,2
distraction,make 3 cocktails for alton,4200.0,1
equipment,must use sheet pans as cooking vessel,5000.0,1
distraction,must cook tied together with another chef,3600.0,1
equipment,limited to 3 tools in the kitchen,4000.0,2
ingredients,must cook everything in their cobb salad,6300.0,1
equipment,must replace all equipment with a build a station,14000.0,2
distraction,must cook fries one at a time,7000.0,1
equipment,must cook on an inverted wok,9200.0,2
equipment,must use straws to put liquid into risotto pans,4200.0,1
distraction,must wait for their number to be called,3500.0,2
distraction,must reassemble butter stick from individual sticks,1600.0,1
equipment,must use a rotating heat source,7600.0,2
distraction,must finish their dish in the next five minutes (@15 minutes),1500.0,1
equipment,must cook in eggshells,8100.0,1
equipment,replace cooking equipment with yard sale equipment,4300.0,2
distraction,must tweezer sesame seeds off of a bun,6000.0,1
equipment,force your opponent to use a claw hand,2000.0,3
distraction,force two opponents to switch stations and dishes with an opponent,10100.0,1
distraction,must wear periscope glasses,4400.0,2
distraction,"must carry egg in an egg head, lose $500 if you drop it",700.0,1
distraction,"must carry egg in an egg head, lose $500 if you drop it",7700.0,1
equipment,must cook on a tv tray table,2100.0,2
distraction,must keep hand on cooking equipment,2500.0,1
distraction,deshell edamame,2700.0,1
ingredients,must use chopped chicken liver,1100.0,1
distraction,force opponent to wear rubber gloves,500.0,2
equipment,forfeit hand tools,1400.0,1
distraction,station swap (ingredients/sabotages),13200.0,1
distraction,stop cooking to make mayo,3700.0,1
penalty,broke rules,500.0,2
distraction,must plate with corn cobb holders,8500.0,1
